Views,Duration,Likes,Comments,Category,Title_Length,Channel_Subscribers,Channel_Views,Video_Age,Average_Video_Views,Hashtag_Count,Audio_Language,Total_Videos_Posted,Channel_Size_Num,Channel_Age,Title_Sentiment,Engagement_Rate
89641,598,1242,382,8,79,17400000,17174823842,5,101610.544188468,0,16,169026,4,7049,0.291666666666666,0.009333333333333332
690515,342,19428,1612,12,22,3940000,1878532302,27,81487.5418383724,0,16,23053,3,6834,0.0,0.534010152284264
24376884,59,1232378,2179,12,31,20400000,6510896239,250,3688893.05325779,0,19,1765,4,5023,0.0,6.05175
318823,645,3407,155,12,59,173000,16417719,155,31817.2848837209,0,16,516,2,651,0.5,2.058959537572254
5601662,617,75245,2496,12,57,839000,89311974,2065,309037.972318339,0,63,289,2,2223,0.224242424242424,9.265911799761621
267254,802,3815,122,12,56,173000,16417719,53,31817.2848837209,0,16,516,2,651,0.212121212121212,2.275722543352601
15924118,31,773967,2124,2,29,6010000,3760560938,195,6164853.99672131,0,63,610,3,4137,0.0,12.91332778702163
27761813,56,1951560,6225,12,20,20400000,6510896239,840,3688893.05325779,0,19,1765,4,5023,0.0,9.596985294117646
1268482,550,58717,2208,12,51,3510000,526761808,16,753593.430615164,0,16,699,3,2844,0.0333333333333333,1.7357549857549857
680244,325,27324,1044,12,60,3510000,526761808,10,753593.430615164,0,16,699,3,2844,-0.0259740259740259,0.8082051282051281
5628084,1087,183594,6721,12,23,20400000,6510896239,221,3688893.05325779,0,19,1765,4,5023,-0.25,0.9329166666666666
454529,248,5656,42,7,14,94900,2502458155,2202,2443806.79199218,0,63,1024,1,4261,0.0,6.004214963119073
142681,2453,460,22,12,66,69000,21796471,90,42571.232421875,0,16,512,1,568,0.0,0.6985507246376812
370758,1847,19305,1128,12,73,8740000,1405639646,5,1886764.62550335,0,31,745,3,2892,0.3,0.23378718535469106
211851,572,4364,236,12,64,25600000,2827312576,225,572562.287565816,0,16,4938,4,6619,0.0,0.01796875
20782,2373,377,24,12,51,123000,15734654,8,165627.936842105,0,17,95,2,5336,-0.1,0.32601626016260166
11514321,24,700747,503,12,63,2130000,148098742,140,712013.182692307,1,16,208,3,326,0.65,32.92253521126761
4021243,3304,71079,836,2,62,10300000,821761308,717,458828.201005025,0,16,1791,4,3687,0.2,0.6982038834951456
216703,813,4389,103,6,44,788000,114742602,8,158265.657931034,0,63,725,2,5626,0.5,0.5700507614213198
6905387,60,322968,1233,10,58,1570000,1064152441,15,15202177.7285714,3,63,70,3,707,0.0,20.649745222929937
960150,369,13998,2734,3,68,9620000,10177668816,115,874295.061936259,0,16,11641,3,3525,0.25,0.17392931392931393
1898847,249,21050,488,7,66,286000,427957387,3130,490776.819954128,0,63,872,2,3517,0.0,7.5307692307692315
327126,1696,5007,577,12,42,123000,15734654,161,165627.936842105,0,17,95,2,5336,0.0,4.539837398373984
48676789,45,1787562,7763,12,38,759000,302941986,708,4093810.62162162,1,63,74,2,1157,0.0,236.53820816864294
445930,57,16798,254,12,60,249000,134426953,579,342053.315521628,0,63,393,2,3518,-0.5,6.848192771084337
122558,23,3171,64,10,49,3520,897876,52,1672.02234636871,2,17,537,1,2968,-0.431818181818181,91.9034090909091
20045664,2324,446145,10671,12,46,20400000,6510896239,421,3688893.05325779,0,19,1765,4,5023,0.5,2.239294117647059
126655,23,3069,242,12,82,96300,65287969,215,2197.73013094556,3,16,29707,1,5403,0.0,3.4382139148494284
31725673,59,1768591,3007,12,29,20400000,6510896239,634,3688893.05325779,0,19,1765,4,5023,0.171875,8.684303921568628
40836152,60,2652451,8461,12,29,20400000,6510896239,827,3688893.05325779,0,19,1765,4,5023,0.0,13.043686274509803
1503055,526,102072,7119,1,100,32200000,18212799150,5,1574956.68886198,0,16,11564,4,6951,-0.699999999999999,0.3391024844720497
323334,280,3316,140,3,55,3010000,2581938743,784,1076705.06380316,0,63,2398,3,3143,0.0,0.11481727574750832
2433076,20,52974,89,12,66,26400,8044783,852,196214.219512195,5,63,41,1,1781,0.0,200.9962121212121
12874467,58,607677,3649,12,46,16100000,8400158100,375,1175011.62400335,1,17,7149,4,5899,0.125,3.797055900621118
23183,37,1321,47,12,75,405000,102254947,8,71109.1425591098,4,16,1438,2,5387,0.0,0.3377777777777778
24797673,15,430332,482,12,86,1360000,921703976,146,3103380.39057239,5,63,297,3,3084,0.0,31.6775
25055502,20,213440,566,2,96,1470000,1213940053,691,987746.178193653,1,17,1229,3,1065,0.0,14.558231292517007
25141389,39,1081632,7553,12,47,8070000,1210195109,175,3735170.08950617,3,16,324,3,6420,0.0833333333333333,13.496716232961587
304225,407,16515,872,1,30,426000,108937505,20,65310.254796163,0,16,1668,2,4613,-0.5,4.081455399061032
6781020,1635,198118,6106,12,38,20400000,6510896239,106,3688893.05325779,0,19,1765,4,5023,0.0,1.0010980392156863
43132981,17,2054743,5538,12,50,8070000,1210195109,252,3735170.08950617,4,16,324,3,6420,0.25,25.530123915737295
928616,988,4386,112,12,42,69000,21796471,216,42571.232421875,0,16,512,1,568,0.0,6.518840579710145
2973268,27,209423,872,12,39,20400000,6510896239,380,3688893.05325779,0,19,1765,4,5023,0.0,1.030857843137255
1079689,13,20189,135,12,92,4170000,3234392569,96,744222.864473078,0,63,4346,3,1667,0.0,0.4873860911270983
1109683,58,136988,286,12,88,1320000,44090415,9,881808.3,5,16,50,3,86,0.0,10.399545454545454
217933,2070,22862,2225,3,34,2100000,338570190,8,1627741.29807692,0,16,208,3,3205,0.0,1.1946190476190477
