Views,Likes,Engagement_Rate,Comments,Average_Video_Views,Hashtag_Count,Channel_Country,Video_Age,Weekly_Videos,Total_Videos_Posted,Title_Length,Month,Channel_Subscribers,Publish_Hour_Time,Title_Sentiment,Duration
249220,7236,2.9211138752909,44,164032.021390374,7,32,595,2.0888297872340424,561,99,6,172000,21,0.0,40
392190,2830,0.721589025727326,0,35707.5551782682,0,32,2601,4.204568631450133,2945,15,12,488000,4,0.0,238
351308,7015,2.06940917940952,255,62014.7551928783,0,86,124,1.4992055926278995,674,90,9,502000,19,0.0,1433
6754278,446663,6.61998218018269,469,289264.739549839,8,32,689,0.9701426024955436,311,100,3,67700,21,0.1,44
9610539,421653,4.46174767096829,7145,219615.841713221,1,33,179,1.2106280193236716,537,86,7,261000,1,0.65,32
5197203,235545,4.55620071026665,1250,343662.629032258,0,32,182,1.0,124,29,7,125000,20,0.0,42
2693592,168600,6.3221898490937,1694,279149.891428571,1,86,131,4.375,175,35,9,71400,11,-0.5,20
41808,6438,16.6547072330654,525,84616.2105809128,0,86,6,3.825396825396825,964,87,1,271000,3,0.242424242424242,968
1986097,209104,10.5498371932488,426,1696649.72959183,3,32,22,5.037943696450428,588,55,12,1620000,22,0.0,60
3750644,58853,1.74199417486703,6483,12188.3860691144,0,86,2156,6.9512064343163535,3704,50,2,93000,10,0.136363636363636,660
106568,1840,1.7406726221755102,15,50105.5,0,87,166,0.05333333333333333,8,29,8,2100,6,0.1,551
1565580,0,0.0622772391062737,975,28292.1216216216,0,87,523,0.8144654088050315,222,33,8,34100,6,0.0,21
20045664,446145,2.2788768683342098,10671,3688893.05325779,0,85,421,2.459685446944057,1765,46,11,20400000,5,0.5,2324
1059580,7055,0.726231148190792,640,47217.8913371566,0,86,2132,5.037141615986099,3313,55,3,529000,13,0.0,206
3834238,125550,3.46123532237696,7162,3688893.05325779,0,85,29,2.459685446944057,1765,31,12,20400000,4,0.214285714285714,1376
259535,5834,2.43127131215443,476,1014871.75035936,0,86,9,5.510750660128254,2087,73,1,5080000,9,0.178787878787878,1516
60103,3907,6.81496763888657,189,47040.8885017421,0,86,337,1.0393171236420071,574,67,2,132000,4,0.5,855
11800998,622868,5.28690031131265,1039,130363.533118971,0,87,810,8.584384858044164,1555,30,11,256000,7,0.0,18
609880,44113,7.28585951334688,322,244519.602409638,5,87,206,0.9149606299212599,83,99,6,128000,4,0.0,26
32007817,99391,0.310521020536951,0,223510.34503794,0,86,1708,7.024037025977904,6721,59,5,3210000,6,-0.5,586
47809201,1380735,2.92867266282069,19440,10777129.0676691,0,85,657,0.50080688542227,266,58,4,5910000,9,0.1,60
315107,4528,1.5198012103824998,261,678247.896031746,0,27,110,2.959731543624161,1260,63,10,5900000,7,0.0,1706
67194758,1115024,1.6605357816751098,769,2999401.0091653,6,87,705,17.820833333333333,3055,94,2,10600000,21,0.25,22
34855,924,2.79443408406254,50,2483.38636363636,0,87,277,0.09384521633150518,44,26,4,1190,9,0.0,385
8137638,437752,5.60321066137373,18217,759340.374100719,0,86,833,2.2733644859813085,278,32,10,555000,6,0.25,39
15272814,750668,4.9267934514229,1792,6164853.99672131,0,87,607,1.0321489001692048,610,37,5,6010000,10,0.0,27
2604172,75586,3.0335937871999197,3414,147860.562700964,1,51,331,1.1084521384928716,311,66,2,60000,3,0.0,28
30290,1285,4.25222845823704,3,35961.012345679,0,86,685,1.6976047904191616,567,19,3,389000,6,0.0,17
1682812,12293,0.749578681397565,321,128813.376749847,0,86,172,3.379665001469292,1643,72,7,950000,10,0.3,2686
14684,467,3.47316807409425,43,3148.9659090909,0,86,23,1.4772182254196642,88,40,12,35400,12,0.0,308
463185,6460,1.48342454958601,411,595445.555555555,0,85,235,0.08695652173913043,18,29,5,115000,5,0.0,1750
3344375,111445,3.34220893290973,331,4224083.92532467,0,87,26,1.9926062846580406,308,51,12,1790000,5,0.25,16
30315,1305,4.57199406234537,81,23650.6851851851,0,86,53,0.4004237288135593,54,87,11,28100,5,0.0166666666666666,824
109454,1739,1.72766641694227,152,33475.6759185939,0,60,1186,408.84249841068026,367491,86,10,16100000,1,-0.1,765
138046,1429,1.09673587065181,85,168522.671875,0,87,32,1.7330754352030948,256,50,12,181000,14,0.0,4198
9526517,321863,3.38390200741782,505,1347330.50561797,6,87,171,3.416819012797075,267,74,8,865000,4,0.25,40
